timestamp,open,high,low,close,volume
04-03-2022,2943.18,2957,2876.14,2912.82,3049156
03-03-2022,3070.63,3078.58,2937.12,2957.97,3259860
02-03-2022,3016.98,3059.99,2975,3041.05,2366736
01-03-2022,3054.65,3081.98,2999.54,3022.84,2243679
28-02-2022,3048.5,3089,3017,3071.26,2884171
25-02-2022,3011,3079.8,2984.27,3075.77,3119768
24-02-2022,2796.75,3034.98,2790,3027.16,5039288
23-02-2022,3033.01,3035.26,2893.02,2896.54,3212178
22-02-2022,3009.57,3059.65,2969.71,3003.95,3246383
18-02-2022,3109.99,3109.99,3017.86,3052.03,3180205
17-02-2022,3162.92,3206.975,3090,3093.05,3201625
16-02-2022,3115.81,3176.68,3094.69,3162.01,2635214
15-02-2022,3152.11,3160.14,3092.75,3130.21,2848533
14-02-2022,3035.02,3168.9663,3033,3103.34,4161535
11-02-2022,3162.6902,3180,3054.675,3065.87,3855022
10-02-2022,3167,3214.33,3155,3180.07,3413406
09-02-2022,3257.47,3276.69,3205,3223.79,3439280
08-02-2022,3135.01,3235.85,3111.01,3228.27,3802018
07-02-2022,3170.4,3253.815,3145,3158.71,5131219
04-02-2022,3112.13,3224,3012.16,3152.79,12672793
03-02-2022,2834.75,2884.95,2766.66,2776.91,11276568
02-02-2022,3101.0085,3101.5,2977.2717,3012.25,4366488
01-02-2022,3000,3034.16,2952.5548,3023.87,2960992
31-01-2022,2895,3007.21,2886.0101,2991.47,3915372
28-01-2022,2817.21,2879.96,2758.585,2879.56,3719599
27-01-2022,2816,2884.87,2787,2792.75,3875790
26-01-2022,2895,2903.695,2746.37,2777.45,4780085
25-01-2022,2844.85,2872,2762.9,2799.72,4541233
24-01-2022,2780,2898.9,2707.04,2890.88,7802237
21-01-2022,2999,3018,2841.408,2852.86,8198572
20-01-2022,3135.32,3160,3027.02,3033.35,3598666
19-01-2022,3175.24,3185,3125,3125.98,2620856
18-01-2022,3182.1,3194.6899,3153.29,3178.35,3306866
14-01-2022,3203,3245,3196.01,3242.76,2298743
13-01-2022,3305.01,3324.4299,3221.82,3224.28,2609415
12-01-2022,3331.5,3337.56,3288.34,3304.14,2501456
11-01-2022,3230,3327,3214.03,3307.24,3115005
10-01-2022,3211.71,3233.23,3126.09,3229.72,4389915
07-01-2022,3276.78,3304.865,3240.62,3251.08,2330295
06-01-2022,3269.01,3296,3238.7442,3265.08,2597889
05-01-2022,3337.66,3342.525,3287.14,3287.14,3215136
04-01-2022,3408.76,3428,3326.99,3350.44,3536258
03-01-2022,3351,3414.07,3323.21,3408.09,3193457
31-12-2021,3379.12,3387,3331.17,3334.34,2381786
30-12-2021,3394,3417.76,3370.48,3372.89,1879155
29-12-2021,3416.8,3424.24,3372.0101,3384.02,1787702
28-12-2021,3403.65,3443.5176,3382.71,3413.22,2735593
